"h_team","id","minute","result","X","Y","xG","player","h_a","player_id","situation","year","shotType","match_id","a_team","h_goals","a_goals","date","player_assisted","lastAction"
"Angers",415092,60,"BlockedShot",0.740999984741211,0.532000007629394,0.0202202927321196,"Mohamed Ali-Cho","h",8685,"OpenPlay",2020,"LeftFoot",16080,"Rennes",0,3,2021-04-17 11:00:00,"Lois Diony","Pass"
"Angers",424403,82,"MissedShots",0.879000015258789,0.449000015258789,0.028011167421937,"Mohamed Ali-Cho","h",8685,"OpenPlay",2020,"Head",16126,"Lille",1,2,2021-05-23 19:00:00,"Sada Thioub","Aerial"
"Angers",388065,56,"SavedShot",0.819000015258789,0.382000007629395,0.0437019243836403,"Stéphane Bahoken","h",5980,"OpenPlay",2020,"RightFoot",15865,"Lyon",0,1,2020-11-22 16:00:00,NA,"None"
"Angers",409759,48,"MissedShots",0.771999969482422,0.645,0.0139708165079355,"Lassana Coulibaly","h",3334,"FromCorner",2020,"RightFoot",16036,"Saint-Etienne",0,1,2021-03-13 12:00:00,NA,"Aerial"
"Angers",412876,36,"MissedShots",0.878000030517578,0.377000007629395,0.0481847673654556,"Antonin Bobichon","h",6869,"OpenPlay",2020,"RightFoot",16058,"Montpellier",1,1,2021-04-04 11:00:00,"Vincent Manceau","Cross"
"Angers",417928,13,"SavedShot",0.871999969482422,0.59,0.355727791786194,"Stevan Jovetic","a",1524,"OpenPlay",2020,"LeftFoot",16095,"Monaco",0,1,2021-04-25 15:05:00,"Aleksandr Golovin","Throughball"
"Angers",420592,86,"MissedShots",0.993000030517578,0.577999992370606,0.386710613965988,"Mohamed Ali-Cho","h",8685,"OpenPlay",2020,"LeftFoot",16106,"Dijon",3,0,2021-05-09 13:00:00,NA,"Rebound"
"Angers",390683,86,"MissedShots",0.93,0.874000015258789,0.0180524755269289,"Armand Lauriente","a",6697,"OpenPlay",2020,"LeftFoot",15876,"Lorient",2,0,2020-12-06 14:00:00,"Julien Laporte","Pass"
"Angers",393056,46,"BlockedShot",0.903000030517578,0.629000015258789,0.0166530571877956,"Ismael Traoré","h",3487,"FromCorner",2020,"Head",15896,"Strasbourg",0,2,2020-12-16 18:00:00,"Angelo Fulgini","Cross"
"Angers",388063,56,"BlockedShot",0.773000030517578,0.567000007629395,0.0253814645111561,"Ibrahim Amadou","h",3358,"OpenPlay",2020,"RightFoot",15865,"Lyon",0,1,2020-11-22 16:00:00,"Angelo Fulgini","Pass"
"Angers",402130,8,"MissedShots",0.661999969482422,0.562999992370605,0.0116983214393258,"Lassana Coulibaly","h",3334,"OpenPlay",2020,"RightFoot",15966,"Nimes",3,1,2021-01-31 14:00:00,"Thomas Mangani","Pass"
"Angers",390667,7,"MissedShots",0.790999984741211,0.735,0.0388720445334911,"Armand Lauriente","a",6697,"OpenPlay",2020,"LeftFoot",15876,"Lorient",2,0,2020-12-06 14:00:00,NA,"TakeOn"
"Angers",402134,23,"MissedShots",0.808000030517578,0.25,0.0137068349868059,"Lamine Fomba","a",7913,"OpenPlay",2020,"LeftFoot",15966,"Nimes",3,1,2021-01-31 14:00:00,"Moussa Koné","TakeOn"
"Angers",376190,26,"Goal",0.915999984741211,0.475,0.508807718753815,"Toma Basic","a",6902,"OpenPlay",2020,"LeftFoot",13987,"Bordeaux",0,2,2020-08-30 13:00:00,"Hwang Ui-Jo","Tackle"
"Angers",395502,38,"MissedShots",0.889000015258789,0.695,0.0746898576617241,"Angelo Fulgini","h",6019,"OpenPlay",2020,"RightFoot",15918,"Marseille",2,1,2020-12-23 20:00:00,"Pierrick Capelle","Pass"
"Angers",407343,65,"SavedShot",0.796999969482422,0.632999992370605,0.032161895185709,"Seko Fofana","a",1144,"OpenPlay",2020,"RightFoot",16016,"Lens",2,2,2021-02-28 14:00:00,"Cheick Oumar Doucoure","Pass"
"Angers",415093,62,"Goal",0.914000015258789,0.462000007629395,0.501560747623444,"Martin Terrier","a",5611,"OpenPlay",2020,"RightFoot",16080,"Rennes",0,3,2021-04-17 11:00:00,"Flavien Tait","Pass"
"Angers",417939,89,"MissedShots",0.706999969482422,0.716999969482422,0.0138150043785572,"Lassana Coulibaly","h",3334,"OpenPlay",2020,"RightFoot",16095,"Monaco",0,1,2021-04-25 15:05:00,"Pierrick Capelle","Pass"
"Angers",395503,44,"MissedShots",0.929000015258789,0.52,0.119599476456642,"Álvaro González","a",2430,"FromCorner",2020,"Head",15918,"Marseille",2,1,2020-12-23 20:00:00,"Dimitri Payet","Cross"
"Angers",420587,54,"MissedShots",0.923000030517578,0.477999992370605,0.108354181051254,"Romain Thomas","h",3488,"FromCorner",2020,"Head",16106,"Dijon",3,0,2021-05-09 13:00:00,"Antonin Bobichon","Cross"
