"h_team","id","minute","result","X","Y","xG","player","h_a","player_id","situation","year","shotType","match_id","a_team","h_goals","a_goals","date","player_assisted","lastAction"
"AC Milan",384238,1,"Goal",0.933000030517578,0.477999992370605,0.412550926208496,"Zlatan Ibrahimovic","h",1741,"OpenPlay",2020,"RightFoot",15473,"Roma",3,3,2020-10-26 19:45:00,"Rafael Leão","Chipped"
"AC Milan",386927,18,"MissedShots",0.936999969482422,0.452000007629395,0.132120668888092,"Antonin Barak","a",6208,"SetPiece",2020,"Head",15492,"Verona",2,2,2020-11-08 19:45:00,"Federico Dimarco","Cross"
"AC Milan",415525,18,"SavedShot",0.875,0.357000007629395,0.0926822572946548,"Rafael Leão","h",7193,"OpenPlay",2020,"RightFoot",15728,"Genoa",2,1,2021-04-18 10:30:00,"Hakan Calhanoglu","Pass"
"AC Milan",397532,55,"MissedShots",0.929000015258789,0.684000015258789,0.0233613941818476,"Aaron Ramsey","a",504,"SetPiece",2020,"LeftFoot",15581,"Juventus",1,3,2021-01-06 19:45:00,"Matthijs de Ligt","Cross"
"AC Milan",386924,5,"Goal",0.98,0.479000015258789,0.924338579177856,"Antonin Barak","a",6208,"FromCorner",2020,"LeftFoot",15492,"Verona",2,2,2020-11-08 19:45:00,NA,"Rebound"
"AC Milan",378516,65,"BlockedShot",0.808000030517578,0.34,0.0225021373480558,"Musa Barrow","a",6512,"OpenPlay",2020,"RightFoot",14122,"Bologna",2,0,2020-09-21 18:45:00,"Andreas Skov Olsen","Pass"
"AC Milan",408078,38,"SavedShot",0.93,0.332000007629395,0.0836858451366425,"Samu Castillejo","h",2303,"OpenPlay",2020,"RightFoot",15672,"Udinese",1,1,2021-03-03 19:45:00,"Sandro Tonali","TakeOn"
"AC Milan",389388,84,"SavedShot",0.905999984741211,0.535999984741211,0.0232197437435389,"Germán Pezzella","a",2143,"FromCorner",2020,"Head",15512,"Fiorentina",2,0,2020-11-29 14:00:00,"Erick Pulgar","Aerial"
"AC Milan",395382,68,"SavedShot",0.81,0.6,0.0717916190624237,"Luis Alberto","a",1219,"OpenPlay",2020,"LeftFoot",15559,"Lazio",3,2,2020-12-23 19:45:00,"Danilo Cataldi","Pass"
"AC Milan",378503,30,"BlockedShot",0.815,0.725999984741211,0.0233136136084795,"Musa Barrow","a",6512,"OpenPlay",2020,"LeftFoot",14122,"Bologna",2,0,2020-09-21 18:45:00,"Mitchell Dijks","Pass"
"AC Milan",422845,92,"BlockedShot",0.885,0.587999992370606,0.0715852081775665,"Samu Castillejo","h",2303,"OpenPlay",2020,"LeftFoot",15788,"Cagliari",0,0,2021-05-16 18:45:00,"Mario Mandzukic","HeadPass"
